用途,商品名,型番,個数,URL
台車,BotWheel Explorer Kit,SKU: KIT-BWE-01,1,https://shop.odriverobotics.com/products/botwheel-explorer
バッテリ,マキタ リチウムイオンバッテリ,BL1860B,1,https://amzn.asia/d/bOFE7TR
バッテリ充電器,マキタ 急速充電器,DC18RF,1,https://amzn.asia/d/7jeYRxh
バッテリアダプタ,マキタ バッテリ用アダプタ,-,1,https://amzn.asia/d/e7m00Mh
外付け取手,樹脂外付取手,UPCN21-W-36-SEU,1,https://jp.misumi-ec.com/vona2/detail/110302361470/?HissuCode=UPCN21-W-36-SEU
非常停止ボタン,IDEC 非常停止用押ボタン XWシリーズ φ22,XW1E-BV401MR,1,https://amzn.asia/d/12MV87Z
非常停止ボタン用銘板,IDEC X6シリーズ 非常停止用押ボタンスイッチ,HWAV-J27-Y,1,https://amzn.asia/d/ifdIQ3f
低電圧切断モジュール,CZH-LABS 18V/30Amp LVD 低電圧切断モジュール,MD-D1021V3 18V,1,https://amzn.asia/d/gNzmijV
ワイヤースプール,GEARit 16AWGゲージ,GI-MARINE-16AWG-CL3-WH-20C2,1,https://amzn.asia/d/9fGRKGI
端子台,WAGO 221 レバーナット,P221-35,1,https://amzn.asia/d/5yNv0Fz
